model,val_mse,val_r2,train_sec,family
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.005, 'alpha': 0.1}",0.07071463881938847,0.8841380836773693,14.838047742843628,Transfer
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.005, 'alpha': 1.0}",0.07472662769366752,0.877564667946204,21.996008157730103,Transfer
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.005, 'alpha': 3.0}",0.07866560913076878,0.8711108707511501,14.38946270942688,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.005, 'alpha': 0.1}",0.07938590222528846,0.8699307114568609,5.062779426574707,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.005, 'alpha': 1.0}",0.08031550923559999,0.8684076032088397,3.2816944122314453,Transfer
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.01, 'alpha': 0.1}",0.08050929131701251,0.868090102282917,15.60951042175293,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.005, 'alpha': 3.0}",0.08283602489534994,0.864277881565126,3.303086519241333,Transfer
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.01, 'alpha': 1.0}",0.08384887240337228,0.8626183884929519,13.957763671875,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.005, 'alpha': 0.1}",0.08551006425325096,0.8598966200681981,3.6598927974700928,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.005, 'alpha': 1.0}",0.08614856893629243,0.8588504664373056,2.395855665206909,Transfer
Ridge@emb {'alpha': 0.01},0.08731989691486701,0.8569313121220783,0.20638585090637207,Transfer
Ridge@emb {'alpha': 0.1},0.08731990838434257,0.8569312933299945,0.3287675380706787,Transfer
Ridge@emb {'alpha': 0.1},0.08731990838434257,0.8569312933299945,0.18277549743652344,Transfer
Ridge@emb {'alpha': 0.3},0.0873199564904406,0.8569312145108873,0.472888708114624,Transfer
Ridge@emb {'alpha': 0.3},0.0873199564904406,0.8569312145108873,0.21698427200317383,Transfer
Ridge@emb {'alpha': 1.0},0.08732010282076785,0.8569309747569633,0.20687317848205566,Transfer
Ridge@emb {'alpha': 1.0},0.08732010282076785,0.8569309747569633,0.4194471836090088,Transfer
Ridge@emb {'alpha': 3.0},0.08732063083007685,0.8569301096437223,0.2515299320220947,Transfer
Ridge@emb {'alpha': 3.0},0.08732063083007685,0.8569301096437223,0.15007519721984863,Transfer
Ridge@emb {'alpha': 10.0},0.08732359509870119,0.8569252528580689,0.8102138042449951,Transfer
Ridge@emb {'alpha': 10.0},0.08732359509870119,0.8569252528580689,0.19527125358581543,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.005, 'alpha': 3.0}",0.08806019007848141,0.8557183838513708,3.760885238647461,Transfer
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.01, 'alpha': 3.0}",0.08895104504097986,0.8542587686310453,13.7022066116333,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.01, 'alpha': 0.1}",0.09182706736063051,0.8495465695318962,5.047751426696777,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.01, 'alpha': 1.0}",0.09331845918730804,0.8471030087938134,3.3953378200531006,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.01, 'alpha': 3.0}",0.09703648777517873,0.8410112302833798,3.30896258354187,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.01, 'alpha': 0.1}",0.1030842773039683,0.8311022708936391,1.27378511428833,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.01, 'alpha': 1.0}",0.10455484494558401,0.8286928293991443,1.2701303958892822,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.01, 'alpha': 3.0}",0.10791109378616932,0.8231938064412669,1.2937285900115967,Transfer
"KRR-Poly≈@emb {'n_comp': 1024, 'degree': 2, 'alpha': 3.0}",0.12641449829099255,0.7928770298839098,4.989845037460327,Transfer
"KRR-Poly≈@emb {'n_comp': 1024, 'degree': 2, 'alpha': 1.0}",0.12641458744556877,0.7928768838092042,3.879387617111206,Transfer
"KRR-Poly≈@emb {'n_comp': 1024, 'degree': 2, 'alpha': 0.1}",0.12641462761140032,0.7928768179997722,3.946078062057495,Transfer
"KRR-Poly≈@emb {'n_comp': 1024, 'degree': 3, 'alpha': 3.0}",0.16140602735259454,0.7355453984166123,4.768790006637573,Transfer
"KRR-Poly≈@emb {'n_comp': 1024, 'degree': 3, 'alpha': 1.0}",0.1614060282870309,0.7355453968855915,6.108401775360107,Transfer
"KRR-Poly≈@emb {'n_comp': 1024, 'degree': 3, 'alpha': 0.1}",0.16140602870752735,0.735545396196632,4.839556932449341,Transfer
"KRR-Poly≈@emb {'n_comp': 512, 'degree': 2, 'alpha': 3.0}",0.1624352531647354,0.7338590704240742,1.7844314575195312,Transfer
"KRR-Poly≈@emb {'n_comp': 512, 'degree': 2, 'alpha': 1.0}",0.16243525593990576,0.7338590658771154,2.096806049346924,Transfer
"KRR-Poly≈@emb {'n_comp': 512, 'degree': 2, 'alpha': 0.1}",0.16243525719157756,0.7338590638263223,2.7805936336517334,Transfer
"KRR-Poly≈@emb {'n_comp': 512, 'degree': 3, 'alpha': 3.0}",0.21446683982030013,0.6486082731369945,3.300577402114868,Transfer
"KRR-Poly≈@emb {'n_comp': 512, 'degree': 3, 'alpha': 1.0}",0.21446684004061733,0.6486082727760173,2.254706859588623,Transfer
"KRR-Poly≈@emb {'n_comp': 512, 'degree': 3, 'alpha': 0.1}",0.21446684013976017,0.6486082726135773,2.3941421508789062,Transfer
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.05, 'alpha': 0.1}",0.3877115839798656,0.36475660697183165,13.741626501083374,Transfer
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.05, 'alpha': 1.0}",0.4046536387086526,0.3369980132762084,13.6284339427948,Transfer
"KRR-RBF≈@emb {'n_comp': 2048, 'gamma': 0.05, 'alpha': 3.0}",0.428916674029596,0.29724440900102955,14.290660381317139,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.05, 'alpha': 0.1}",0.4358014990419773,0.2859640145480812,5.1007890701293945,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.05, 'alpha': 1.0}",0.4502040722553812,0.2623662169726173,3.4036827087402344,Transfer
"KRR-RBF≈@emb {'n_comp': 1024, 'gamma': 0.05, 'alpha': 3.0}",0.47092227283943405,0.2284206229272886,3.4723451137542725,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.05, 'alpha': 0.1}",0.4870849782583707,0.20193894877804963,1.2167723178863525,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.05, 'alpha': 1.0}",0.4972786852682383,0.1852371392473352,1.392563819885254,Transfer
"KRR-RBF≈@emb {'n_comp': 512, 'gamma': 0.05, 'alpha': 3.0}",0.5119754355124596,0.16115734932774517,1.3174922466278076,Transfer
